@id,name,@lat,@lon
1457114934,Kottivakkam,12.9690850,80.2577701
1457114942,Kottivakkam,12.9694054,80.2576146
1457114953,SRP Tools,12.9791430,80.2525895
1457114954,SRP Tools,12.9794944,80.2528353
1467456714,Thabal Petti,13.1415836,80.2371784
1666841444,Oil Mill,12.9290533,80.2025500
1676204804,National Institute of Fashion Technology (N.I.F.T),12.9847375,80.2523565
1676204841,Spastic Society,12.9861494,80.2503872
1676204843,Tech Park,12.9861778,80.2445710
1676204850,Spastic Society,12.9863453,80.2502837
1676204856,Tech Park,12.9863612,80.2444706
1676252666,,13.0466924,80.2330053
1685049528,C.I.T. Colony,13.0440218,80.2597715
1685049537,C.I.T. Colony,13.0443128,80.2596312
1693491914,Santhoshpuram,12.9200019,80.1709460
1693497698,Santhoshpuram,12.9197291,80.1711286
1703352021,Trisulam Airport,12.9755085,80.1577918
1703352022,Trisulam Airport,12.9802128,80.1632657
1711224934,கோவிலாம்பாக்கம்,12.9392427,80.1825888
1764308008,Velachery Railway Station,12.9712721,80.2189421
1863536092,,13.0505119,80.2143390
1866155561,,13.8090672,79.9508882
1866155906,,13.8090896,79.9510137
1883603286,Sunnambu Kolathur,12.9463536,80.1973913
1899719037,S.Kolathur Vinayagapuram Stop,12.9484438,80.1944768
1899719039,,12.9486686,80.1944821
1899719797,Sunnambu Kolathur Puliyamara Stop,12.9485908,80.1990259
1899719800,Sunnambu Kolathur Puliyamara Stop,12.9485052,80.1989831
1899720980,Narayana puram,12.9485432,80.2034407
1899720981,Narayana puram,12.9487941,80.2033549
1920364154,Roja Medicals,12.9806753,80.1880722
1949567462,Kaiveli,12.9639064,80.2159702
1949567464,Kaiveli,12.9633783,80.2160859
1951096336,,12.5831759,79.9194204
1952553763,Postal Colony,13.0363098,80.2206213
1952555473,Postal Colony,13.0370153,80.2208949
1955951295,Ram Colony,13.0343805,80.2161535
1955951298,Pudhur High School Bus Stop,13.0418514,80.2161173
1955951301,Pudhur High School Bus Stop,13.0416992,80.2160469
1955951303,Ram Colony,13.0343297,80.2162105
2039504294,Eachankadu junction,12.9491156,80.1839603
2039504299,Eachangadu Junction,12.9494528,80.1838235
2072482089,Lakshmi Nagar,13.0383858,80.1651227
2077234674,Pallikaranai,12.9338132,80.2040466
2082925056,மேட்டுக்குப்பம்,12.9371240,80.2341180
2082925057,D. B Jain College,12.9448917,80.2386779
2082925106,D. B Jain College,12.9459910,80.2396626
2083090321,Mettukuppam,12.9394621,80.2357344
2083090427,Mettukuppam,12.9400132,80.2356326
2099314355,Thoraipakkam Tea Shop bus stop,12.9526215,80.2418685
2099361681,PTC quarters,12.9358886,80.2339915
2124865776,Chettinadu health city,12.7960456,80.2228534
2142333096,,13.0148049,80.1744872
2145422466,Pazhavanthangal,12.9878498,80.1852853
2145429148,,12.9828496,80.1884958
2151931377,Nanganallur Market,12.9858342,80.1884954
2154131506,,12.6592632,80.2088092
2154131531,,12.6968840,79.9768407
2157071431,,13.9601349,79.9017607
2157071441,,13.9619934,79.9015112
2157590801,Five Furlong Road,12.9974380,80.2162638
2158620128,Velachery Check Post,12.9974054,80.2165418
2158620129,Velachery Check Post,12.9974127,80.2164502
2239237792,West Saidapet,13.0244589,80.2198196
2241055785,Guindy,13.0092567,80.2113470
2241072260,,13.0208206,80.2252558
2241832803,Chintadripet,13.0749522,80.2713710
2245351858,,12.9902418,80.2275498
2271085296,,13.0488035,80.2071743
2271478018,Chennai Central Railway Station,13.0820442,80.2754967
2271478024,Chennai Central Railway Station,13.0820658,80.2756227
2271478031,Chennai Central Railway Station,13.0820790,80.2757368
2271478038,Chennai Central Railway Station,13.0821338,80.2754831
2271478046,Chennai Central Railway Station,13.0821553,80.2756074
2271478054,Chennai Central Railway Station,13.0821719,80.2757147
2376337518,Mammallapuram Byepass,12.6280701,80.1943024
2376817233,KumaranKundram,12.9418993,80.1429158
2394698615,K4 Police Station,13.0923311,80.2189211
2481989471,L.I.C,13.0642741,80.2658589
2481989472,L.I.C,13.0643262,80.2659171
2481989473,L.I.C,13.0643752,80.2659784
2482014614,TVS,13.0592806,80.2597741
2482014616,TVS,13.0593336,80.2598375
2482014617,TVS,13.0593726,80.2595362
2482014618,TVS,13.0607702,80.2625400
2482014620,TVS,13.0594322,80.2596151
2482014623,TVS,13.0594885,80.2596874
2482072866,General Hospital,13.0817908,80.2770347
2482072867,General Hospital,13.0818202,80.2772826
2482072870,General Hospital,13.0818538,80.2775047
2482072873,General Hospital (Central),13.0818727,80.2777397
2482072875,LIC,13.0628652,80.2637854
2482072877,LIC,13.0629492,80.2638825
2482072878,L.I.C,13.0646820,80.2663928
2482072879,LIC,13.0647720,80.2661116
2482072880,Secretariat,13.0810225,80.2883335
2482072921,Pallavan Salai,13.0763656,80.2764590
2482072922,Pallavan Salai,13.0768078,80.2761790
2482072933,உயர் நீதிமன்றம்,13.0849072,80.2833818
2482075364,Commissioner Office,13.0741660,80.2620635
2482075367,,13.0689097,80.2673390
2482075369,Egmore Court,13.0716607,80.2646506
2482301305,,13.0503752,80.2403628
2482301372,,13.0570031,80.2349394
2485153591,Valluvar Statue,13.0417872,80.2683179
2485153597,,13.0419830,80.2681148
2485980398,,13.0652457,80.2737964
2486085722,கஸ்தூரிபாய் மருத்துவமனை,13.0581355,80.2781176
2486085724,,13.0602054,80.2776637
2486106727,,13.0300269,80.2505676
2486226649,Chennai Central Railway Station,13.0825901,80.2763077
2486226651,Loane Square,13.0914641,80.2857380
2486226652,,13.0919530,80.2751809
2486226653,Beach Station,13.0943483,80.2923716
2486226655,Mannadi,13.0961399,80.2863950
2486226656,Clive Battery,13.0990436,80.2937634
2486226657,,13.0996879,80.2866699
2486226658,,13.1010909,80.2749364
2486226659,,13.1034911,80.2867769
2489157878,,13.0721350,80.2739713
2495414567,பேசின் பிரிட்ஜ்,13.1023010,80.2706743
2515095267,,12.9648737,80.1969930
2583555195,Rajakadai,13.1511559,80.2997199
2587520213,Adyar Depot,12.9988972,80.2559382
2587520244,Sathya Studio,13.0162622,80.2595250
2587520245,Sathya Studio,13.0163426,80.2595820
2587520246,Sathya Studio,13.0164211,80.2596390
2587520247,Sathya Studio,13.0165092,80.2596980
2587530808,Adyar Depot,12.9984686,80.2561546
2587530809,BSNL Office,13.0002744,80.2564084
2739927426,CSI Church Bus Stop,13.1084248,80.1802710
2739929645,Korattur 41D Bus Stand,13.1082230,80.1834048
2739938120,Korattur Aerikarai Bus Stop,13.1103434,80.1803640
2845696141,darga bus stop,13.2115318,79.0941024
3016127769,Camp Road,12.9223538,80.1416469
3016129434,Camp Road,12.9226099,80.1436734
3016138304,சேலையூர்,12.9223457,80.1383932
3016138305,சேலையூர்,12.9224877,80.1386033
3016141192,Convent Bus Stop,12.9227845,80.1330579
3016141193,Selayur,12.9228855,80.1311754
3016141194,Christ King Covent,12.9226722,80.1312269
3016144952,East Tambaram,12.9232126,80.1205736
3016144953,East Tambaram,12.9234246,80.1206459
3016148044,Perungalathur railway station,12.9066371,80.0962763
3115112472,Forest Tana,13.4339177,79.4883114
3215416374,Adayar Signal,13.0076573,80.2585701
3215417205,Andhra Mahila Sabha,13.0160134,80.2594407
3215420255,Rani Meyammai School,13.0202685,80.2627298
3215426872,Mandaveli,13.0264662,80.2643155
3215469782,Luz Corner,13.0370202,80.2664553
3215471511,Kapaleeshwar Temple,13.0342194,80.2679152
3215471512,St Mary’s Road,13.0293180,80.2659968
3215471942,AVM Rajeshwari,13.0445256,80.2653165
3215474364,Valluvar Statue,13.0416655,80.2682136
3215478754,Woodlands,13.0447900,80.2628089
3215488159,Stella Maris College,13.0476081,80.2542024
3215494190,Chola Hotel,13.0461435,80.2567561
3215497011,Semozhi Poonga,13.0504157,80.2525025
3215497034,Gemini,13.0553071,80.2493825
3215500283,Chetpet,13.0695972,80.2421558
3215503639,Sterling Road,13.0622840,80.2449997
3215508149,Brick Kiln,13.0897099,80.2509902
3215509332,KMC,13.0787644,80.2444050
3215513362,Millers Road,13.0845368,80.2502683
3215513434,Mekala Theatre,13.0872409,80.2507551
3215523368,Saravana Theatre,13.0941477,80.2509589
3215523791,Otteri,13.0972089,80.2513821
3215524962,Mettupalayam,13.1049521,80.2531007
3215525045,Jamalia,13.1064019,80.2493548
3215525963,Mangalapuram,13.1071652,80.2458654
3215525982,Perambur Railway Station,13.1080594,80.2445619
3216954757,Perambur Railway Station Bus Stand,13.1081640,80.2444885
3216957362,Mangalapuram,13.1073116,80.2467397
3216958497,Jamalia,13.1062169,80.2505190
3216970886,Mettupalayam,13.1050560,80.2531768
3216970916,Binny Mills,13.1023363,80.2526445
3216985354,Otteri,13.0972157,80.2514514
3216985475,Chetpet,13.0694621,80.2433699
3216986182,Saravana Theatre,13.0936235,80.2509794
3216986939,R.K. Road,13.0906349,80.2511188
3216986940,Mekala Theatre,13.0872089,80.2506503
3216986967,Millers Road,13.0834502,80.2546030
3216990390,KMC,13.0787415,80.2521255
3216990971,College Road,13.0677838,80.2465225
3216991399,Haddows Road,13.0666677,80.2478922
3216991543,Income Tax Offrice,13.0573221,80.2487138
3216992157,Valluvar Statue,13.0413309,80.2683208
3216992158,VM Street,13.0442990,80.2691671
3216993078,Sterling,13.0606301,80.2474960
3216994236,Semozhi Poonga,13.0501996,80.2526129
3216995418,Gemini,13.0549585,80.2496516
3216995837,Stella Maris College,13.0480230,80.2538615
3216995856,Chola Hotel,13.0459666,80.2567170
3216997832,Kapaleeshwar Temple,13.0344064,80.2681224
3216998093,Woodlands,13.0447018,80.2648393
3216998713,Luz Corner,13.0376266,80.2677461
3216999998,Mandaveli Market,13.0299144,80.2667491
3217000237,Rani Meiyammai School,13.0222664,80.2634866
3217004886,Andhra Mahila Sabha,13.0162141,80.2597582
3217004899,Adyar Signal,13.0070713,80.2586412
3217004939,Adyar Depot,12.9987410,80.2561722
3217006341,Jayanthi Theatre,12.9889638,80.2560835
3247291320,Mandapam,12.6210238,80.1945283
3247299914,Thiruvanmiyur,12.9868818,80.2579993
3247299988,Mandapam,12.6211358,80.1944414
3247310920,Thiruvanmiyur RTO,12.9766865,80.2590590
3247310921,Marundeeswarar Temple,12.9850797,80.2594959
3247388390,Kottivakkam,12.9694759,80.2578950
3247394198,Kotivakkam,12.9695400,80.2575889
3247406935,Chinna Neelankarai,12.9540502,80.2552125
3247410861,Vettuvankeni,12.9504769,80.2550489
3247419936,Injambakkam,12.9273395,80.2514212
3247421162,Saibaba,12.9384549,80.2528146
3247421163,Vettuvankeni,12.9496587,80.2547230
3247422104,Injambakkam,12.9273447,80.2514507
3258044158,Water Tank,12.9140134,80.2503942
3258044670,VGP,12.9205379,80.2513359
3258047142,,12.8975923,80.2474836
3258047153,Nainar Depot,12.8774931,80.2438102
3258049393,Uthandi,12.8689025,80.2435911
3258057378,Ragas,12.8597978,80.2419120
3258057379,Kanathur,12.8505026,80.2411932
3258057380,Meera Nagar,12.8416956,80.2406239
3258058365,Muthukaadu,12.8312622,80.2404381
3258059445,MGM,12.8256677,80.2403201
3258069508,Yellow Board,12.8178381,80.2405354
3259348351,Boat House,12.8059508,80.2429515
3259348641,Chemmanchery,12.7770192,80.2489818
3259350074,Kovalam Bye pass,12.7849148,80.2451610
3259350075,Kovalam,12.7867576,80.2496014
3259350322,Thiruvidhanthai,12.7631944,80.2454708
3259351069,Therukupattu,12.7560423,80.2430139
3259351985,Puthukalpakkam,12.7305006,80.2330471
3259352014,Periya Nemmili,12.7261873,80.2313228
3259612618,Pattipulam Kaavamaram,12.6617150,80.2092180
3259616260,Peroor,12.7187693,80.2282429
3259616908,Sulerikadu,12.7050407,80.2236869
3259625476,Nemmili Saibaba,12.6981041,80.2210224
3259631204,Krishnan Colony,12.6891303,80.2172083
3259631242,Pattipulam Tea Kadai,12.6864076,80.2160919
3259632242,Nemmili Saibaba,12.6936729,80.2191489
3259640812,Salavankuppam,12.6513085,80.2061997
3259640873,Pattipulam Colony,12.6812160,80.2142982
3259654159,Ilanthoppu,12.6542022,80.2065975
3259658174,Mammallapuram Byepass,12.6279549,80.1946957
3261247746,Salavankuppam,12.6513882,80.2061241
3261248252,Ilanthoppu,12.6545889,80.2068258
3261249518,Nemmili Saibaba,12.6934073,80.2189545
3261249563,Pattipulam Kaavamaram,12.6617232,80.2092304
3261250561,Sulerikadu,12.7051244,80.2236537
3261251123,Peroor,12.7181335,80.2278862
3261251802,Thiruvidhanthai,12.7633168,80.2455193
3261251829,Kovalam,12.7867733,80.2491347
3261251830,Chemmanchery,12.7787783,80.2484977
3261251961,Therukupattu,12.7560815,80.2430058
3261253463,Boat House,12.8062686,80.2430098
3261257465,Meera Nagar,12.8416654,80.2405603
3261257466,,12.8276183,80.2403223
3261260258,Ragas,12.8598425,80.2418337
3261261651,Nainar Depot,12.8778797,80.2438159
3261262160,Uthandi,12.8679009,80.2433625
3261262339,VGP,12.9205826,80.2514870
3261264219,Water Tank,12.9148864,80.2503116
3262960162,Saibaba,12.9384795,80.2526055
3262970161,Chinna Neelankarai,12.9544995,80.2550838
3262996627,Gandhinagar,13.0066383,80.2547553
3262998692,Pallavakkam,12.9612601,80.2562079
3262998735,Madhya Kailash,13.0065479,80.2465371
3263003853,Gandhi Mandapam,13.0074031,80.2367069
3263010049,சைதாப்பேட்டை காவல் நிலையம்,13.0221248,80.2262769
3263015762,Halcyon Technologies,13.0294483,80.2309064
